node_id,entity_type,degree,betweenness,is_articulation_point
tt0229335,movie,11,2.3226226403929233e-06,False
tt7359270,movie,11,2.310787620569264e-06,True
tt0877333,movie,9,2.30782886561335e-06,True
tt2763330,movie,9,2.30782886561335e-06,True
tt0072308,movie,12,2.30782886561335e-06,True
tt12541357,movie,9,2.3058211390361223e-06,False
tt1051832,movie,11,2.2989526007456066e-06,True
tt12535715,movie,6,2.2930350908337772e-06,False
tt12534212,movie,6,2.2866949016425318e-06,False
tt6218548,movie,12,2.2657132545291607e-06,True
tt12539967,movie,8,2.2634475412746316e-06,False
tt12532137,movie,6,2.2506967163455715e-06,False
tt0954968,movie,11,2.248653766495059e-06,True
tt3364888,movie,11,2.233859991715486e-06,True
nm21958745,name,3,2.228530557322845e-06,False
tt8594582,movie,11,2.2220249718918276e-06,False
tt1164089,movie,11,2.2211796133329954e-06,True
tt0102739,movie,11,2.2207953594426164e-06,False
nm0001980,name,5,2.2190662169359133e-06,True
nm0371025,name,3,2.2190662169359133e-06,True
tt5742374,movie,13,2.2035172044048304e-06,True
tt0247196,movie,12,2.185251874582604e-06,True
tt8496508,movie,11,2.174684892597195e-06,True
tt4516496,movie,9,2.1687673826853656e-06,True
tt1268161,movie,9,2.154079277725647e-06,False
tt4134678,movie,12,2.1457637292893815e-06,True
tt12541447,movie,10,2.130689492817944e-06,False
tt12533065,movie,9,2.1243860583466474e-06,False
tt0261562,movie,12,2.115509793478904e-06,True
tt8460750,movie,11,2.1070562078905766e-06,True
tt1807409,movie,11,2.100716018699331e-06,True
nm0415556,name,3,2.0947985087875026e-06,False
tt7838260,movie,11,2.0880102541739326e-06,True
tt0210154,movie,11,2.0859222439197585e-06,True
tt12532007,movie,8,2.0859222439197585e-06,False
tt12532403,movie,9,2.0776442458198776e-06,False
tt0441958,movie,12,2.071128469140186e-06,True
nm0012148,name,3,2.0652109592283565e-06,False
tt1558859,movie,10,2.058393087448061e-06,True
nm0149822,name,5,2.050417184448784e-06,False
tt12536370,movie,6,2.045065362421419e-06,False
tt1010415,movie,10,2.04154091958104e-06,True
tt9652752,movie,13,2.04154091958104e-06,True
tt5078214,movie,13,2.04154091958104e-06,True
tt0260948,movie,9,2.0378424758861475e-06,True
tt4266402,movie,13,2.011953370021895e-06,False
tt0320558,movie,11,1.9942008402864072e-06,True
tt0956193,movie,11,1.9882833303745783e-06,False
tt12537069,movie,5,1.9823658204627493e-06,False
tt0246057,movie,11,1.9815204619039163e-06,True
tt12532624,movie,7,1.9794070655068346e-06,False
tt12538129,movie,10,1.974968933072963e-06,False
tt1570565,movie,10,1.970530800639091e-06,False
tt8181336,movie,11,1.9675720456831763e-06,True
tt0216553,movie,11,1.9548916673006853e-06,True
tt0087190,movie,12,1.9527782709036036e-06,True
tt0273062,movie,11,1.9527782709036036e-06,True
nm0257394,name,5,1.9512988934256467e-06,False
tt4001278,movie,11,1.937984496124031e-06,True
tt3425302,movie,9,1.9305876087342447e-06,True
tt12541356,movie,8,1.928579882157017e-06,False
tt7203520,movie,11,1.910307253818704e-06,True
tt0165818,movie,11,1.9024794366530562e-06,True
tt2164682,movie,11,1.893603171785313e-06,True
tt0155505,movie,11,1.8788093970057401e-06,False
tt0085057,movie,12,1.8714125096159536e-06,True
tt0158117,movie,11,1.8640156222261673e-06,True
tt2392381,movie,11,1.8640156222261673e-06,True
tt0051755,movie,12,1.8640156222261673e-06,True
tt12544094,movie,7,1.8640156222261673e-06,False
tt2014365,movie,11,1.8551393573584234e-06,True
tt0402526,movie,10,1.8492218474465945e-06,True
tt7307426,movie,11,1.8492218474465945e-06,True
tt0095464,movie,12,1.8492218474465945e-06,True
tt1591903,movie,11,1.8344280726670219e-06,True
nm2827276,name,3,1.8344280726670219e-06,False
tt12542684,movie,8,1.8344280726670214e-06,True
tt4634466,movie,13,1.8344280726670214e-06,False
tt12539505,movie,8,1.8203979976865948e-06,False
tt0170363,movie,11,1.819634297887449e-06,True
tt5542806,movie,13,1.819634297887449e-06,True
tt12542791,movie,9,1.8048405231078764e-06,False
tt0106989,movie,12,1.8033611456299189e-06,True
tt12544877,movie,5,1.800191051034296e-06,False
tt5189894,movie,11,1.79851954661115e-06,True
tt0058975,movie,13,1.7900467483283032e-06,True
tt12541033,movie,8,1.7826498609385173e-06,False
tt12535458,movie,8,1.7794797663428941e-06,False
tt2035595,movie,11,1.7752529735487308e-06,True
tt0077460,movie,13,1.7474128368264113e-06,True
nm1309090,name,2,1.7456654239895849e-06,False
tt0257384,movie,11,1.739747914077756e-06,True
tt1860336,movie,13,1.7308716492100125e-06,True
tt6224632,movie,12,1.7308716492100125e-06,True
tt4557242,movie,11,1.7234747618202258e-06,True
nm21969621,name,3,1.7205864534108808e-06,False
tt2207026,movie,13,1.7042428546067815e-06,False
tt12531394,movie,9,1.7029748167685324e-06,False
nm1024006,name,2,1.7012840996508666e-06,False
tt12545330,movie,6,1.690928457305166e-06,False
tt1216279,movie,11,1.6864903248712942e-06,True
tt0350037,movie,13,1.6864903248712942e-06,True
tt2477894,movie,9,1.6864903248712942e-06,True
tt12538236,movie,5,1.6716965500917214e-06,False
tt0092451,movie,11,1.6716965500917214e-06,True
tt12534423,movie,8,1.6670118547448563e-06,False
tt0317202,movie,11,1.6569027753121486e-06,False
tt12535071,movie,7,1.6569027753121486e-06,False
tt0395779,movie,11,1.642109000532576e-06,True
tt0316481,movie,9,1.6407910366132748e-06,True
tt0161597,movie,10,1.6389572832969279e-06,False
tt12541360,movie,7,1.6302739807089178e-06,False
tt12532688,movie,7,1.6125214509734305e-06,False
tt0374594,movie,8,1.5977276761938577e-06,False
tt0057760,movie,12,1.5977276761938577e-06,True
tt0091933,movie,11,1.5977276761938577e-06,True
nm2774159,name,4,1.5977276761938577e-06,True
tt0816629,movie,11,1.5977276761938577e-06,True
tt0458419,movie,9,1.5977276761938577e-06,False
tt0055719,movie,11,1.5977276761938577e-06,True
tt0074235,movie,11,1.5977276761938577e-06,True
nm2612450,name,2,1.5903307888040714e-06,False
tt0420389,movie,11,1.5829339014142848e-06,True
tt12542023,movie,7,1.5814545239363275e-06,False
nm0928108,name,4,1.56370199420084e-06,False
tt12539473,movie,6,1.5549012531082476e-06,False
tt11428420,movie,12,1.5533463518551394e-06,True
tt12538458,movie,5,1.5533463518551394e-06,False
tt0104255,movie,13,1.5533463518551394e-06,True
tt9409854,movie,11,1.550387596899225e-06,True
